Facility (Host_description), Count
c480-074.stampede2.tacc.utexas.edu,1
c480-082.stampede2.tacc.utexas.edu,1
c480-084.stampede2.tacc.utexas.edu,2
c480-094.stampede2.tacc.utexas.edu,1
c480-102.stampede2.tacc.utexas.edu,1
c480-112.stampede2.tacc.utexas.edu,1
c480-121.stampede2.tacc.utexas.edu,1
c480-131.stampede2.tacc.utexas.edu,2
c480-133.stampede2.tacc.utexas.edu,1
c480-134.stampede2.tacc.utexas.edu,1
c481-003.stampede2.tacc.utexas.edu,1
c481-011.stampede2.tacc.utexas.edu,3
c481-012.stampede2.tacc.utexas.edu,3
c481-021.stampede2.tacc.utexas.edu,1
c481-041.stampede2.tacc.utexas.edu,1
c481-044.stampede2.tacc.utexas.edu,1
c481-052.stampede2.tacc.utexas.edu,2
c481-062.stampede2.tacc.utexas.edu,1
c481-063.stampede2.tacc.utexas.edu,3
c481-071.stampede2.tacc.utexas.edu,1
c481-072.stampede2.tacc.utexas.edu,1
c481-074.stampede2.tacc.utexas.edu,1
c481-084.stampede2.tacc.utexas.edu,2
c481-092.stampede2.tacc.utexas.edu,1
c481-094.stampede2.tacc.utexas.edu,1
c481-102.stampede2.tacc.utexas.edu,1
c481-104.stampede2.tacc.utexas.edu,1
c481-111.stampede2.tacc.utexas.edu,1
c481-133.stampede2.tacc.utexas.edu,1
c482-004.stampede2.tacc.utexas.edu,1
c482-014.stampede2.tacc.utexas.edu,1
c482-021.stampede2.tacc.utexas.edu,1
c482-022.stampede2.tacc.utexas.edu,1
c482-032.stampede2.tacc.utexas.edu,1
c482-033.stampede2.tacc.utexas.edu,1
c482-034.stampede2.tacc.utexas.edu,1
c482-044.stampede2.tacc.utexas.edu,1
c482-051.stampede2.tacc.utexas.edu,1
c482-053.stampede2.tacc.utexas.edu,1
c482-054.stampede2.tacc.utexas.edu,1
c482-062.stampede2.tacc.utexas.edu,2
c482-064.stampede2.tacc.utexas.edu,1
c482-084.stampede2.tacc.utexas.edu,1
c482-092.stampede2.tacc.utexas.edu,1
c482-102.stampede2.tacc.utexas.edu,1
c482-104.stampede2.tacc.utexas.edu,1
c482-111.stampede2.tacc.utexas.edu,2
c482-112.stampede2.tacc.utexas.edu,1
c482-114.stampede2.tacc.utexas.edu,1
c482-132.stampede2.tacc.utexas.edu,1
c482-134.stampede2.tacc.utexas.edu,1
c483-002.stampede2.tacc.utexas.edu,1
c483-003.stampede2.tacc.utexas.edu,1
c483-004.stampede2.tacc.utexas.edu,1
c483-011.stampede2.tacc.utexas.edu,1
c483-022.stampede2.tacc.utexas.edu,1
c483-024.stampede2.tacc.utexas.edu,1
c483-031.stampede2.tacc.utexas.edu,1
c483-041.stampede2.tacc.utexas.edu,3
c483-051.stampede2.tacc.utexas.edu,1
c483-053.stampede2.tacc.utexas.edu,2
c483-054.stampede2.tacc.utexas.edu,2
c483-061.stampede2.tacc.utexas.edu,3
c483-062.stampede2.tacc.utexas.edu,1
c483-064.stampede2.tacc.utexas.edu,2
c483-071.stampede2.tacc.utexas.edu,2
c483-072.stampede2.tacc.utexas.edu,1
c483-081.stampede2.tacc.utexas.edu,2
c483-091.stampede2.tacc.utexas.edu,1
c483-093.stampede2.tacc.utexas.edu,1
c483-094.stampede2.tacc.utexas.edu,1
c483-101.stampede2.tacc.utexas.edu,2
c483-104.stampede2.tacc.utexas.edu,2
c483-111.stampede2.tacc.utexas.edu,1
c483-112.stampede2.tacc.utexas.edu,1
c483-132.stampede2.tacc.utexas.edu,1
c483-133.stampede2.tacc.utexas.edu,1
c484-021.stampede2.tacc.utexas.edu,1
c484-022.stampede2.tacc.utexas.edu,1
c484-031.stampede2.tacc.utexas.edu,1
c484-051.stampede2.tacc.utexas.edu,2
c484-053.stampede2.tacc.utexas.edu,1
c484-061.stampede2.tacc.utexas.edu,2
c484-064.stampede2.tacc.utexas.edu,2
c484-071.stampede2.tacc.utexas.edu,1
c484-073.stampede2.tacc.utexas.edu,2
c484-091.stampede2.tacc.utexas.edu,2
c484-094.stampede2.tacc.utexas.edu,1
c484-101.stampede2.tacc.utexas.edu,1
c484-102.stampede2.tacc.utexas.edu,1
c484-112.stampede2.tacc.utexas.edu,1
c484-114.stampede2.tacc.utexas.edu,1
c484-121.stampede2.tacc.utexas.edu,1
c484-122.stampede2.tacc.utexas.edu,1
c484-123.stampede2.tacc.utexas.edu,1
c484-124.stampede2.tacc.utexas.edu,2
c484-133.stampede2.tacc.utexas.edu,1
c485-001.stampede2.tacc.utexas.edu,2
c485-002.stampede2.tacc.utexas.edu,2
c485-011.stampede2.tacc.utexas.edu,1
c485-012.stampede2.tacc.utexas.edu,2
c485-013.stampede2.tacc.utexas.edu,1
c485-014.stampede2.tacc.utexas.edu,1
c485-022.stampede2.tacc.utexas.edu,1
c485-023.stampede2.tacc.utexas.edu,1
c485-031.stampede2.tacc.utexas.edu,3
c485-032.stampede2.tacc.utexas.edu,1
c485-033.stampede2.tacc.utexas.edu,1
c485-034.stampede2.tacc.utexas.edu,1
c485-043.stampede2.tacc.utexas.edu,1
c485-044.stampede2.tacc.utexas.edu,2
c485-072.stampede2.tacc.utexas.edu,2
c485-081.stampede2.tacc.utexas.edu,1
c485-083.stampede2.tacc.utexas.edu,1
c485-091.stampede2.tacc.utexas.edu,2
c485-093.stampede2.tacc.utexas.edu,1
c485-102.stampede2.tacc.utexas.edu,1
c485-104.stampede2.tacc.utexas.edu,1
c485-111.stampede2.tacc.utexas.edu,1
c485-113.stampede2.tacc.utexas.edu,1
c485-124.stampede2.tacc.utexas.edu,1
c485-132.stampede2.tacc.utexas.edu,1
c486-041.stampede2.tacc.utexas.edu,1
c486-042.stampede2.tacc.utexas.edu,2
c486-044.stampede2.tacc.utexas.edu,1
c486-062.stampede2.tacc.utexas.edu,1
c486-081.stampede2.tacc.utexas.edu,1
c486-092.stampede2.tacc.utexas.edu,2
c486-094.stampede2.tacc.utexas.edu,1
c486-101.stampede2.tacc.utexas.edu,2
c486-112.stampede2.tacc.utexas.edu,1
c486-123.stampede2.tacc.utexas.edu,1
c486-132.stampede2.tacc.utexas.edu,2
c486-134.stampede2.tacc.utexas.edu,2
c487-004.stampede2.tacc.utexas.edu,2
c487-013.stampede2.tacc.utexas.edu,1
c487-021.stampede2.tacc.utexas.edu,1
c487-031.stampede2.tacc.utexas.edu,1
c487-033.stampede2.tacc.utexas.edu,1
c487-034.stampede2.tacc.utexas.edu,1
c487-051.stampede2.tacc.utexas.edu,1
c487-052.stampede2.tacc.utexas.edu,2
c487-053.stampede2.tacc.utexas.edu,1
c487-062.stampede2.tacc.utexas.edu,1
c487-072.stampede2.tacc.utexas.edu,2
c487-082.stampede2.tacc.utexas.edu,1
c487-084.stampede2.tacc.utexas.edu,1
c487-094.stampede2.tacc.utexas.edu,2
c487-102.stampede2.tacc.utexas.edu,1
c487-103.stampede2.tacc.utexas.edu,3
c487-104.stampede2.tacc.utexas.edu,1
c487-123.stampede2.tacc.utexas.edu,1
c487-124.stampede2.tacc.utexas.edu,1
c487-131.stampede2.tacc.utexas.edu,3
c487-133.stampede2.tacc.utexas.edu,2
c488-031.stampede2.tacc.utexas.edu,1
c488-041.stampede2.tacc.utexas.edu,3
c488-061.stampede2.tacc.utexas.edu,1
c488-063.stampede2.tacc.utexas.edu,1
c488-071.stampede2.tacc.utexas.edu,1
c488-072.stampede2.tacc.utexas.edu,1
c488-074.stampede2.tacc.utexas.edu,1
c488-082.stampede2.tacc.utexas.edu,2
c488-094.stampede2.tacc.utexas.edu,1
c488-101.stampede2.tacc.utexas.edu,1
c488-102.stampede2.tacc.utexas.edu,1
c488-104.stampede2.tacc.utexas.edu,1
c488-112.stampede2.tacc.utexas.edu,2
c488-121.stampede2.tacc.utexas.edu,2
c488-124.stampede2.tacc.utexas.edu,1
c488-132.stampede2.tacc.utexas.edu,2
c488-133.stampede2.tacc.utexas.edu,2
c488-134.stampede2.tacc.utexas.edu,1
c489-001.stampede2.tacc.utexas.edu,1
c489-002.stampede2.tacc.utexas.edu,1
c489-044.stampede2.tacc.utexas.edu,1
c489-051.stampede2.tacc.utexas.edu,1
c489-062.stampede2.tacc.utexas.edu,1
c489-063.stampede2.tacc.utexas.edu,2
c489-064.stampede2.tacc.utexas.edu,1
c489-071.stampede2.tacc.utexas.edu,1
c489-073.stampede2.tacc.utexas.edu,1
c489-074.stampede2.tacc.utexas.edu,1
c489-081.stampede2.tacc.utexas.edu,1
c489-082.stampede2.tacc.utexas.edu,1
c489-091.stampede2.tacc.utexas.edu,2
c489-093.stampede2.tacc.utexas.edu,1
c489-094.stampede2.tacc.utexas.edu,3
c489-101.stampede2.tacc.utexas.edu,1
c489-103.stampede2.tacc.utexas.edu,2
c489-104.stampede2.tacc.utexas.edu,1
c489-111.stampede2.tacc.utexas.edu,1
c489-113.stampede2.tacc.utexas.edu,1
c489-122.stampede2.tacc.utexas.edu,1
c489-133.stampede2.tacc.utexas.edu,1
c489-134.stampede2.tacc.utexas.edu,1
c490-003.stampede2.tacc.utexas.edu,1
c490-034.stampede2.tacc.utexas.edu,2
c490-041.stampede2.tacc.utexas.edu,1
c490-044.stampede2.tacc.utexas.edu,1
c490-061.stampede2.tacc.utexas.edu,1
c490-064.stampede2.tacc.utexas.edu,1
c490-071.stampede2.tacc.utexas.edu,1
c490-072.stampede2.tacc.utexas.edu,1
c490-081.stampede2.tacc.utexas.edu,1
c490-091.stampede2.tacc.utexas.edu,1
c490-094.stampede2.tacc.utexas.edu,1
c490-101.stampede2.tacc.utexas.edu,2
c490-104.stampede2.tacc.utexas.edu,1
c490-112.stampede2.tacc.utexas.edu,2
c490-114.stampede2.tacc.utexas.edu,1
c490-122.stampede2.tacc.utexas.edu,1
c490-123.stampede2.tacc.utexas.edu,1
c491-001.stampede2.tacc.utexas.edu,3
c491-002.stampede2.tacc.utexas.edu,1
c491-003.stampede2.tacc.utexas.edu,1
c491-012.stampede2.tacc.utexas.edu,2
c491-013.stampede2.tacc.utexas.edu,1
c491-021.stampede2.tacc.utexas.edu,1
c491-024.stampede2.tacc.utexas.edu,1
c491-033.stampede2.tacc.utexas.edu,1
c491-043.stampede2.tacc.utexas.edu,1
c491-051.stampede2.tacc.utexas.edu,1
c491-053.stampede2.tacc.utexas.edu,1
c491-063.stampede2.tacc.utexas.edu,2
c491-064.stampede2.tacc.utexas.edu,1
c491-074.stampede2.tacc.utexas.edu,2
c491-092.stampede2.tacc.utexas.edu,1
c491-094.stampede2.tacc.utexas.edu,1
c491-111.stampede2.tacc.utexas.edu,2
c491-112.stampede2.tacc.utexas.edu,2
c491-113.stampede2.tacc.utexas.edu,3
c492-011.stampede2.tacc.utexas.edu,2
c492-024.stampede2.tacc.utexas.edu,1
c492-032.stampede2.tacc.utexas.edu,1
c492-033.stampede2.tacc.utexas.edu,1
c492-034.stampede2.tacc.utexas.edu,1
c492-042.stampede2.tacc.utexas.edu,1
c492-044.stampede2.tacc.utexas.edu,1
c492-051.stampede2.tacc.utexas.edu,1
c492-054.stampede2.tacc.utexas.edu,1
c492-071.stampede2.tacc.utexas.edu,1
c492-073.stampede2.tacc.utexas.edu,1
c492-082.stampede2.tacc.utexas.edu,1
c492-083.stampede2.tacc.utexas.edu,1
c492-093.stampede2.tacc.utexas.edu,1
c492-121.stampede2.tacc.utexas.edu,1
c492-133.stampede2.tacc.utexas.edu,2
c493-001.stampede2.tacc.utexas.edu,1
c493-012.stampede2.tacc.utexas.edu,1
c493-013.stampede2.tacc.utexas.edu,1
c493-022.stampede2.tacc.utexas.edu,1
c493-023.stampede2.tacc.utexas.edu,1
c493-024.stampede2.tacc.utexas.edu,1
c493-052.stampede2.tacc.utexas.edu,1
c493-054.stampede2.tacc.utexas.edu,1
c493-061.stampede2.tacc.utexas.edu,1
c493-063.stampede2.tacc.utexas.edu,2
c493-081.stampede2.tacc.utexas.edu,1
c493-083.stampede2.tacc.utexas.edu,1
c493-091.stampede2.tacc.utexas.edu,1
c493-094.stampede2.tacc.utexas.edu,2
c493-102.stampede2.tacc.utexas.edu,1
c493-103.stampede2.tacc.utexas.edu,1
c493-104.stampede2.tacc.utexas.edu,1
c493-111.stampede2.tacc.utexas.edu,1
c493-113.stampede2.tacc.utexas.edu,1
c493-114.stampede2.tacc.utexas.edu,2
c493-134.stampede2.tacc.utexas.edu,2
c494-003.stampede2.tacc.utexas.edu,2
c494-004.stampede2.tacc.utexas.edu,1
c494-021.stampede2.tacc.utexas.edu,1
c494-022.stampede2.tacc.utexas.edu,1
c494-024.stampede2.tacc.utexas.edu,1
c494-031.stampede2.tacc.utexas.edu,1
c494-034.stampede2.tacc.utexas.edu,1
c494-043.stampede2.tacc.utexas.edu,1
c494-061.stampede2.tacc.utexas.edu,1
c494-064.stampede2.tacc.utexas.edu,1
c494-071.stampede2.tacc.utexas.edu,1
c494-072.stampede2.tacc.utexas.edu,1
c494-074.stampede2.tacc.utexas.edu,1
c494-083.stampede2.tacc.utexas.edu,1
c494-101.stampede2.tacc.utexas.edu,1
c494-111.stampede2.tacc.utexas.edu,1
c494-122.stampede2.tacc.utexas.edu,1
c494-124.stampede2.tacc.utexas.edu,1
c494-133.stampede2.tacc.utexas.edu,1
c495-001.stampede2.tacc.utexas.edu,1
c495-004.stampede2.tacc.utexas.edu,1
c495-012.stampede2.tacc.utexas.edu,1
c495-013.stampede2.tacc.utexas.edu,2
c495-014.stampede2.tacc.utexas.edu,1
c495-021.stampede2.tacc.utexas.edu,2
c495-023.stampede2.tacc.utexas.edu,1
c495-031.stampede2.tacc.utexas.edu,1
c495-032.stampede2.tacc.utexas.edu,1
c495-033.stampede2.tacc.utexas.edu,1
c495-034.stampede2.tacc.utexas.edu,1
c495-041.stampede2.tacc.utexas.edu,2
c495-043.stampede2.tacc.utexas.edu,1
c495-053.stampede2.tacc.utexas.edu,1
c495-063.stampede2.tacc.utexas.edu,1
c495-092.stampede2.tacc.utexas.edu,1
c495-101.stampede2.tacc.utexas.edu,1
c495-102.stampede2.tacc.utexas.edu,1
c495-103.stampede2.tacc.utexas.edu,1
c495-104.stampede2.tacc.utexas.edu,1
c495-124.stampede2.tacc.utexas.edu,1
c496-002.stampede2.tacc.utexas.edu,1
c496-004.stampede2.tacc.utexas.edu,2
c496-021.stampede2.tacc.utexas.edu,3
c496-033.stampede2.tacc.utexas.edu,2
c496-041.stampede2.tacc.utexas.edu,1
c496-063.stampede2.tacc.utexas.edu,1
c496-072.stampede2.tacc.utexas.edu,1
c496-074.stampede2.tacc.utexas.edu,2
c496-084.stampede2.tacc.utexas.edu,1
c496-091.stampede2.tacc.utexas.edu,1
c496-092.stampede2.tacc.utexas.edu,1
c496-093.stampede2.tacc.utexas.edu,1
c496-094.stampede2.tacc.utexas.edu,1
c496-102.stampede2.tacc.utexas.edu,1
c496-104.stampede2.tacc.utexas.edu,1
c496-113.stampede2.tacc.utexas.edu,1
c496-114.stampede2.tacc.utexas.edu,1
c496-122.stampede2.tacc.utexas.edu,2
c496-133.stampede2.tacc.utexas.edu,2
c496-134.stampede2.tacc.utexas.edu,1
c497-004.stampede2.tacc.utexas.edu,1
c497-011.stampede2.tacc.utexas.edu,2
c497-012.stampede2.tacc.utexas.edu,1
c497-013.stampede2.tacc.utexas.edu,4
c497-021.stampede2.tacc.utexas.edu,2
c497-022.stampede2.tacc.utexas.edu,1
c497-024.stampede2.tacc.utexas.edu,2
c497-032.stampede2.tacc.utexas.edu,1
c497-042.stampede2.tacc.utexas.edu,1
c497-044.stampede2.tacc.utexas.edu,1
c497-061.stampede2.tacc.utexas.edu,2
c497-063.stampede2.tacc.utexas.edu,2
c497-064.stampede2.tacc.utexas.edu,2
c497-074.stampede2.tacc.utexas.edu,1
c497-091.stampede2.tacc.utexas.edu,1
c497-094.stampede2.tacc.utexas.edu,3
c497-102.stampede2.tacc.utexas.edu,2
c497-103.stampede2.tacc.utexas.edu,2
c497-104.stampede2.tacc.utexas.edu,1
c497-112.stampede2.tacc.utexas.edu,1
c497-122.stampede2.tacc.utexas.edu,1
c497-123.stampede2.tacc.utexas.edu,1
c497-131.stampede2.tacc.utexas.edu,1
c497-132.stampede2.tacc.utexas.edu,1
c497-133.stampede2.tacc.utexas.edu,3
c498-001.stampede2.tacc.utexas.edu,2
c498-014.stampede2.tacc.utexas.edu,1
c498-023.stampede2.tacc.utexas.edu,2
c498-031.stampede2.tacc.utexas.edu,1
c498-041.stampede2.tacc.utexas.edu,1
c498-042.stampede2.tacc.utexas.edu,1
c498-062.stampede2.tacc.utexas.edu,3
c498-063.stampede2.tacc.utexas.edu,1
c498-071.stampede2.tacc.utexas.edu,1
c498-073.stampede2.tacc.utexas.edu,3
c498-081.stampede2.tacc.utexas.edu,1
c498-082.stampede2.tacc.utexas.edu,1
c498-091.stampede2.tacc.utexas.edu,1
c498-092.stampede2.tacc.utexas.edu,2
c498-094.stampede2.tacc.utexas.edu,1
c498-103.stampede2.tacc.utexas.edu,1
c498-104.stampede2.tacc.utexas.edu,2
c498-112.stampede2.tacc.utexas.edu,1
c498-114.stampede2.tacc.utexas.edu,1
c498-132.stampede2.tacc.utexas.edu,1
c498-133.stampede2.tacc.utexas.edu,3
c498-134.stampede2.tacc.utexas.edu,2
c499-001.stampede2.tacc.utexas.edu,2
c499-003.stampede2.tacc.utexas.edu,1
c499-004.stampede2.tacc.utexas.edu,1
c499-013.stampede2.tacc.utexas.edu,1
c499-022.stampede2.tacc.utexas.edu,1
c499-031.stampede2.tacc.utexas.edu,2
c499-033.stampede2.tacc.utexas.edu,2
c499-034.stampede2.tacc.utexas.edu,2
c499-041.stampede2.tacc.utexas.edu,1
c499-044.stampede2.tacc.utexas.edu,1
c499-053.stampede2.tacc.utexas.edu,1
c499-061.stampede2.tacc.utexas.edu,1
c499-073.stampede2.tacc.utexas.edu,1
c499-081.stampede2.tacc.utexas.edu,1
c499-082.stampede2.tacc.utexas.edu,3
c499-084.stampede2.tacc.utexas.edu,2
c499-093.stampede2.tacc.utexas.edu,1
c499-094.stampede2.tacc.utexas.edu,1
c499-101.stampede2.tacc.utexas.edu,1
c499-111.stampede2.tacc.utexas.edu,2
c499-121.stampede2.tacc.utexas.edu,1
c499-122.stampede2.tacc.utexas.edu,2
c499-123.stampede2.tacc.utexas.edu,1
c499-124.stampede2.tacc.utexas.edu,4
c499-131.stampede2.tacc.utexas.edu,1
c499-133.stampede2.tacc.utexas.edu,2
c499-134.stampede2.tacc.utexas.edu,1
c500-013.stampede2.tacc.utexas.edu,2
c500-021.stampede2.tacc.utexas.edu,1
c500-022.stampede2.tacc.utexas.edu,1
c500-023.stampede2.tacc.utexas.edu,1
c500-024.stampede2.tacc.utexas.edu,1
c500-032.stampede2.tacc.utexas.edu,1
c500-033.stampede2.tacc.utexas.edu,4
c500-034.stampede2.tacc.utexas.edu,1
c500-041.stampede2.tacc.utexas.edu,2
c500-044.stampede2.tacc.utexas.edu,2
c500-051.stampede2.tacc.utexas.edu,1
c500-053.stampede2.tacc.utexas.edu,4
c500-054.stampede2.tacc.utexas.edu,1
c500-062.stampede2.tacc.utexas.edu,3
c500-064.stampede2.tacc.utexas.edu,1
c500-071.stampede2.tacc.utexas.edu,1
c500-074.stampede2.tacc.utexas.edu,1
c500-091.stampede2.tacc.utexas.edu,1
c500-092.stampede2.tacc.utexas.edu,1
c500-093.stampede2.tacc.utexas.edu,1
c500-094.stampede2.tacc.utexas.edu,1
c500-113.stampede2.tacc.utexas.edu,1
c500-114.stampede2.tacc.utexas.edu,2
c500-121.stampede2.tacc.utexas.edu,2
c500-122.stampede2.tacc.utexas.edu,1
c500-123.stampede2.tacc.utexas.edu,2
c500-131.stampede2.tacc.utexas.edu,1
c500-132.stampede2.tacc.utexas.edu,1
c500-133.stampede2.tacc.utexas.edu,3
c501-003.stampede2.tacc.utexas.edu,2
c501-004.stampede2.tacc.utexas.edu,2
c501-012.stampede2.tacc.utexas.edu,1
c501-013.stampede2.tacc.utexas.edu,1
c501-014.stampede2.tacc.utexas.edu,1
c501-022.stampede2.tacc.utexas.edu,2
c501-024.stampede2.tacc.utexas.edu,2
c501-031.stampede2.tacc.utexas.edu,1
c501-034.stampede2.tacc.utexas.edu,2
c501-044.stampede2.tacc.utexas.edu,2
c501-051.stampede2.tacc.utexas.edu,2
c501-053.stampede2.tacc.utexas.edu,1
c501-062.stampede2.tacc.utexas.edu,2
c501-063.stampede2.tacc.utexas.edu,1
c501-064.stampede2.tacc.utexas.edu,2
c501-071.stampede2.tacc.utexas.edu,2
c501-072.stampede2.tacc.utexas.edu,2
c501-081.stampede2.tacc.utexas.edu,3
c501-084.stampede2.tacc.utexas.edu,1
c501-092.stampede2.tacc.utexas.edu,1
c501-103.stampede2.tacc.utexas.edu,1
c501-113.stampede2.tacc.utexas.edu,1
c501-114.stampede2.tacc.utexas.edu,2
c501-122.stampede2.tacc.utexas.edu,2
c501-131.stampede2.tacc.utexas.edu,1
c501-133.stampede2.tacc.utexas.edu,2
c501-134.stampede2.tacc.utexas.edu,2
c502-002.stampede2.tacc.utexas.edu,1
c502-004.stampede2.tacc.utexas.edu,1
c502-011.stampede2.tacc.utexas.edu,1
c502-012.stampede2.tacc.utexas.edu,1
c502-024.stampede2.tacc.utexas.edu,1
c502-032.stampede2.tacc.utexas.edu,1
c502-034.stampede2.tacc.utexas.edu,2
c502-041.stampede2.tacc.utexas.edu,7
c502-042.stampede2.tacc.utexas.edu,2
c502-043.stampede2.tacc.utexas.edu,1
c502-063.stampede2.tacc.utexas.edu,3
c502-072.stampede2.tacc.utexas.edu,1
c502-073.stampede2.tacc.utexas.edu,1
c502-074.stampede2.tacc.utexas.edu,2
c502-084.stampede2.tacc.utexas.edu,2
c502-091.stampede2.tacc.utexas.edu,1
c502-103.stampede2.tacc.utexas.edu,1
c502-123.stampede2.tacc.utexas.edu,1
c502-124.stampede2.tacc.utexas.edu,1
c502-133.stampede2.tacc.utexas.edu,1
c502-134.stampede2.tacc.utexas.edu,1
c503-001.stampede2.tacc.utexas.edu,1
c503-002.stampede2.tacc.utexas.edu,1
c503-004.stampede2.tacc.utexas.edu,1
c503-014.stampede2.tacc.utexas.edu,1
c503-021.stampede2.tacc.utexas.edu,1
c503-022.stampede2.tacc.utexas.edu,2
c503-023.stampede2.tacc.utexas.edu,1
c503-024.stampede2.tacc.utexas.edu,1
c503-031.stampede2.tacc.utexas.edu,1
c503-034.stampede2.tacc.utexas.edu,2
c503-042.stampede2.tacc.utexas.edu,1
c503-043.stampede2.tacc.utexas.edu,2
c503-051.stampede2.tacc.utexas.edu,1
c503-053.stampede2.tacc.utexas.edu,1
c503-054.stampede2.tacc.utexas.edu,1
c503-073.stampede2.tacc.utexas.edu,4
c503-082.stampede2.tacc.utexas.edu,2
c503-083.stampede2.tacc.utexas.edu,1
c503-084.stampede2.tacc.utexas.edu,1
c503-091.stampede2.tacc.utexas.edu,1
c503-092.stampede2.tacc.utexas.edu,2
c503-104.stampede2.tacc.utexas.edu,1
c503-111.stampede2.tacc.utexas.edu,1
c503-112.stampede2.tacc.utexas.edu,1
c503-113.stampede2.tacc.utexas.edu,1
c503-123.stampede2.tacc.utexas.edu,1
c504-021.stampede2.tacc.utexas.edu,2
c504-024.stampede2.tacc.utexas.edu,3
c504-034.stampede2.tacc.utexas.edu,1
c504-042.stampede2.tacc.utexas.edu,2
c504-051.stampede2.tacc.utexas.edu,1
c504-052.stampede2.tacc.utexas.edu,1
c504-053.stampede2.tacc.utexas.edu,1
c504-062.stampede2.tacc.utexas.edu,1
c504-081.stampede2.tacc.utexas.edu,3
c504-083.stampede2.tacc.utexas.edu,3
c504-084.stampede2.tacc.utexas.edu,1
c504-091.stampede2.tacc.utexas.edu,1
c504-092.stampede2.tacc.utexas.edu,3
c504-093.stampede2.tacc.utexas.edu,1
c504-094.stampede2.tacc.utexas.edu,1
c504-111.stampede2.tacc.utexas.edu,2
c504-112.stampede2.tacc.utexas.edu,1
c504-113.stampede2.tacc.utexas.edu,1
c504-114.stampede2.tacc.utexas.edu,1
c504-121.stampede2.tacc.utexas.edu,1
c504-123.stampede2.tacc.utexas.edu,3
c504-124.stampede2.tacc.utexas.edu,1
c504-132.stampede2.tacc.utexas.edu,2
c504-134.stampede2.tacc.utexas.edu,2
c505-001.stampede2.tacc.utexas.edu,2
c505-004.stampede2.tacc.utexas.edu,1
c505-012.stampede2.tacc.utexas.edu,1
c505-013.stampede2.tacc.utexas.edu,1
c505-022.stampede2.tacc.utexas.edu,1
c505-024.stampede2.tacc.utexas.edu,2
c505-031.stampede2.tacc.utexas.edu,2
c505-032.stampede2.tacc.utexas.edu,1
c505-033.stampede2.tacc.utexas.edu,1
c505-041.stampede2.tacc.utexas.edu,1
c505-051.stampede2.tacc.utexas.edu,1
c505-053.stampede2.tacc.utexas.edu,1
c505-064.stampede2.tacc.utexas.edu,1
c505-071.stampede2.tacc.utexas.edu,1
c505-072.stampede2.tacc.utexas.edu,1
c505-073.stampede2.tacc.utexas.edu,2
c505-094.stampede2.tacc.utexas.edu,1
c505-101.stampede2.tacc.utexas.edu,1
c505-104.stampede2.tacc.utexas.edu,1
c505-111.stampede2.tacc.utexas.edu,1
c505-112.stampede2.tacc.utexas.edu,1
c505-113.stampede2.tacc.utexas.edu,1
c505-114.stampede2.tacc.utexas.edu,1
c505-121.stampede2.tacc.utexas.edu,1
c505-134.stampede2.tacc.utexas.edu,1
c506-071.stampede2.tacc.utexas.edu,16
c506-072.stampede2.tacc.utexas.edu,16
c506-073.stampede2.tacc.utexas.edu,15
c506-074.stampede2.tacc.utexas.edu,16
c506-081.stampede2.tacc.utexas.edu,12
c506-082.stampede2.tacc.utexas.edu,13
c506-083.stampede2.tacc.utexas.edu,12
c506-084.stampede2.tacc.utexas.edu,14
c506-091.stampede2.tacc.utexas.edu,13
c506-092.stampede2.tacc.utexas.edu,13
c506-093.stampede2.tacc.utexas.edu,15
c506-094.stampede2.tacc.utexas.edu,16
c506-101.stampede2.tacc.utexas.edu,16
c506-102.stampede2.tacc.utexas.edu,12
c506-103.stampede2.tacc.utexas.edu,9
c506-104.stampede2.tacc.utexas.edu,11
c506-111.stampede2.tacc.utexas.edu,12
c506-112.stampede2.tacc.utexas.edu,15
c506-113.stampede2.tacc.utexas.edu,10
c506-114.stampede2.tacc.utexas.edu,14
c506-121.stampede2.tacc.utexas.edu,15
c506-122.stampede2.tacc.utexas.edu,13
c506-123.stampede2.tacc.utexas.edu,8
c506-124.stampede2.tacc.utexas.edu,14
c506-131.stampede2.tacc.utexas.edu,10
c506-132.stampede2.tacc.utexas.edu,13
c506-133.stampede2.tacc.utexas.edu,13
c506-134.stampede2.tacc.utexas.edu,15
cinvestav,1123
csiu.grid.iu.edu,94
fnal.gov,5
isi.edu,1
login.usatlas.org,1
osgconnect,106
pic,5440
ruc.ciconnect@uct2-gk.mwt2.org/condor,58
ruc.mwt2@iut2-gk.mwt2.org/condor,19
ruc.mwt2@uct2-gk.mwt2.org/condor,59
rutgers-cms,507
scott.grid.uchicago.edu,40
stash-worker-el7-1.grid.uchicago.edu,2
stash-worker-el7-2.grid.uchicago.edu,4
xd-login.opensciencegrid.org,3
